0 0 0
1 0 1
2 0 2
3 0 3
4 0 4
5 0 5
6 0 6
7 0 7
8 0 8
9 0 9
10 1 0
11 1 1
12 1 3
13 1 4
14 1 6
15 1 7
16 1 9
17 2 0
18 2 1
19 2 2
20 2 3
21 2 4
22 2 5
23 2 6
24 2 7
25 2 8
26 2 9
27 3 0
28 3 1
29 3 2
30 3 3
31 3 4
32 3 5
33 3 6
34 3 7
35 3 8
36 3 9
37 4 1
38 4 2
39 4 4
40 4 5
41 4 7
42 4 8
43 5 0
44 5 1
45 5 2
46 5 3
47 5 4
48 5 5
49 5 6
50 5 7
51 5 8
52 5 9
53 6 0
54 6 1
55 6 2
56 6 3
57 6 4
58 6 5
59 6 6
60 6 7
61 6 8
62 6 9
63 7 0
64 7 1
65 7 3
66 7 4
67 7 6
68 7 7
69 7 9
70 8 0
71 8 1
72 8 2
73 8 3
74 8 4
75 8 5
76 8 6
77 8 7
78 8 8
79 8 9
80 9 0
81 9 1
82 9 2
83 9 3
84 9 4
85 9 5
86 9 6
87 9 7
88 9 8
89 9 9
